GEOID,Weighted Population,stations,Edge Density (KM),Street Node Average,Number of Links/Number of Nodes,Intersection Count,%of commercial landuse,%of education landuse,%of industrial landuse,%of other landuse,%of parkland landuse,%of primary production landuse,%of residential landuse,%of transport landuse,%of water landuse,Weekly household income,Household median age
36005007500,6353,4,27092.591391382673,0.0,2.6491228070175437,42.0,0.7627278941241108,2.3666580390611323,0.2374764377613286,26.900567188068415,34.4930090995779,0.0,21.08460442952283,14.154956911884277,0.0,658.83,32.3
36005007600,5252,14,98752.26472299814,0.0,3.577777777777778,176.0,1.6651393380977306,2.3565231300798906,0.0570863161356562,35.81424323272464,12.454072671797482,0.0,27.283879602928465,20.36905570823615,0.0,1025.38,38.1
36005007700,1966,3,48592.03294371628,0.0,2.8028169014084505,48.0,1.998437382859798,9.504912982246648,0.0,32.37233777386838,18.088984236698536,0.0,19.399861908292294,18.63546571603434,0.0,975.63,33.2
36005007800,5633,8,84821.0307171237,0.0,3.352601156069364,159.0,0.7733510046655243,1.6727158403818585,0.0,33.24009072390892,19.427687802705957,0.0,23.50570967001984,21.380444958317906,0.0,908.0,35.1
36005007900,6829,15,35067.09744414653,0.0,3.1538461538461537,44.0,0.7695614548498648,6.004025544885241,0.2027175953511701,28.209394396511655,27.084767703022937,0.0,17.786800672987606,19.9427326323915,0.0,828.48,33.3
36005008300,6287,11,18662.941219186283,0.0,2.78125,23.0,2.7676820289823394,4.080480305088827,4.532140135463397,32.40277423893828,12.656225138389855,0.0,21.3927133677874,22.16798478534989,0.0,935.27,34.4
36005008400,3108,0,97992.39121225334,0.0,3.5952380952380953,83.0,0.2938496422216195,0.5954471146012084,0.0,30.31964845901384,29.344078262160064,0.0,20.850262810767106,18.596713711236156,0.0,1223.67,35.0
36005008500,5866,15,48337.35755146319,0.0,3.3230769230769233,61.0,2.5866605461123062,4.458874704284542,0.6243523446124877,29.036511889798465,14.785324715397644,0.0,24.963667100344477,23.544608699450063,0.0,798.75,35.2
36005008600,3849,5,89051.8906643071,0.0,3.2517482517482517,123.0,0.0249462791351171,0.7374991252246937,0.0,24.13084053717972,46.77774899392179,0.0,13.37938245236153,14.94958261217713,0.0,435.98,34.6
36005008700,5914,12,50322.90298389965,0.0,3.1538461538461537,95.0,0.7142482603938372,5.057323036862928,0.0,25.315269577249484,27.94824061887019,0.0,20.88727571798382,20.077642788639725,0.0,772.85,34.7
36005008900,2949,14,79396.64190984449,0.0,3.6486486486486487,71.0,4.136357660616683,5.835423048518824,0.304947422297722,28.01481569240556,16.937334742132016,0.0,23.70773074997333,21.063390684055868,0.0,690.65,48.1
36005009000,3861,11,30040.320325450462,0.0,3.037894736842105,402.0,1.2978299335971737,0.4243086404652142,3.0504646684558985,20.00282669907715,10.250530862205158,0.0,2.259252610331793,10.409783952791075,52.30500263307654,707.81,37.1
